"","p1","p2"
"C_94_1",-0.375354736127158,-3.859194085562
"C_94_2",-2.78598859118879,-3.06471016234576
"C_95",2.54959262872778,-1.2892699897295
"C_96",-0.916005521877821,-3.07436674038691
"C_97",1.96813866347354,-1.99882801185109
"C_98",-1.40804033496736,-3.46968875569022
"C_99",2.86492239406378,-1.45967149598543
"RA_100",1.79475123233139,0.0543375634355223
"RA_101",1.37154119321166,-0.981575978396254
"RA_102",-2.09779903157997,-2.49725591192941
"RA_103",2.20908631206259,-0.795501309158573
"RA_104",1.11932798011061,0.505003232100552
"RA_105",-2.10015723846183,-1.60622597607049
"RA_106",0.626885898154306,1.44054621062337
"RA_107",0.782345476644882,-0.249322253956652
"RA_108",0.392861765908361,1.24096863227359
"RA_109",1.28525757101687,0.890304012705938
"RA_110",1.80967968066278,2.29894333243589
"RA_111",0.862007803433512,2.2532283254099
"RA_112",1.45642352152273,2.06751859669981
"RA_113",1.27423632822206,-0.55271904932436
"RA_114",1.84437378637122,0.563711003897072
"RA_115",-2.5112041418704,-0.490502446442831
"RA_116",1.08638879625678,2.42254621308183
"RA_117",-0.0175714863502574,2.84013646529353
"RA_119",0.429014899298281,-0.593965744243256
"RA_120",1.62750281016453,-0.0168754013216737
"RA_122",-1.98064376666958,-1.75598474795418
"RA_123",-0.277988346583713,2.73136757866866
"RA_124",-1.77656840253928,1.62369688835947
"RA_125",-3.1204915277481,-0.345771602269512
"RA_126",0.0823214184935098,1.09767150677083
"RA_127",-0.380673539785281,3.25182409066361
"RA_128",-2.10579326284274,0.291496135779914
"RA_129",-3.61843547478578,1.34136761077159
"RA_130",0.12208825257237,2.79143679155227
"RA_131",-2.69640479560178,0.446381502756811
"RA_132",1.59935898293396,-0.263183248866657
"RA_133",-0.300105086556244,1.75459642829251
"RA_134",0.809238009753917,1.50438589297126
"RA_135",0.695849551193534,1.97780135718519
"RA_136",0.579825486372138,1.17828899774281
"RA_137",-2.6424126499376,-0.502705978233078
"RA_138",1.2085665238037,1.11339131269246
"RA_139",0.0536096831518729,2.24425115168264
"RA_140",-2.25196382880498,-2.41422210409886
"RA_141",-2.4009319054352,-1.07987888270203
"RA_143",0.768734276124351,0.285797920580275
"RA_144",1.66960520138487,1.21837884501796
"RA_145",0.900951150404367,2.32858556243506
"RA_146",0.967118636158032,0.507506925960106
"RA_147",-3.19438120113472,-0.129112551360029
"RA_148",-1.74674018443219,-1.43832274303183
"RA_149",1.06024291098824,2.2859037390141
"RA_150",1.45879998031041,0.151248973895024
"RA_151",0.535756552378494,0.568695671059841
"RA_152",0.540033179231453,-0.848277802502423
"RA_153",1.71677454707907,0.717483079077225
"RA_155",0.243352457373114,2.3104074104646
"RA_156",0.50925226366955,1.14829670583044
"RA_157",1.57279376634139,2.57897016782784
"RA_158",1.66874108678195,2.5596966039264
"RA_160",1.43802274418776,0.230382632462225
"RA_161",0.209781593605828,3.30764619460616
"RA_162",1.75992350826034,1.88241494094183
"RA_163",1.8740974404776,-0.276033258329292
"RA_164",0.850605734648179,1.23142778069135
"RA_165",0.651127464246355,2.43569633362641
"RA_166",0.789776131488104,2.10019852096764
"RA_167",-3.40689250820691,1.12221701690971
"RA_168",2.35460475130196,1.067939141016
"RA_169",-1.49415800208169,-1.62654230469034
"RA_170",1.32151163669584,0.800351601706078
"RA_171",2.05990015773455,0.896802872040806
"RA_172",2.20958896243214,0.3734849306974
"RA_173",0.196133559272738,1.66509885730229
"RA_174",1.26999193367646,1.43654903111627
"RA_175",0.84107191290141,1.43256761848102
"RA_176",-2.76859506059273,1.5966840486609
"RA_177",1.10428207657644,1.21350919851703
"RA_178",0.567484026171434,2.77318906550216
"RA_179",-2.6242769989179,0.106851038806912
"RA_180",0.0715192642224423,0.72528935021276
"RA_181",-2.40578460280287,0.561510999762346
"RA_182",0.170921103241754,3.1555035243045
"RA_183",0.948386096942917,-0.0520701508884924
"RA_184",0.437522729813014,0.708706628433449
"RA_186",-1.990329013399,-0.621311140177427
"RA_187",0.770669548067973,1.56486143301681
"RA_188",-2.71766728137502,-1.16443440798284
"RA_189",-1.45047454695599,-1.31665729410796
"RA_190",-1.07433659092344,-0.974637199226389
"RA_192",-0.3228572444642,-1.15037755923508
"RA_58",-2.04389548141528,-0.278363598703789
"RA_59",0.150249743498425,1.45550854305377
"RA_60",-2.82809986836386,-0.648407573839798
"RA_61",0.905840209058957,1.55670814366221
"RA_62",1.33472267292207,0.313022128387354
"RA_63",0.648467987030327,1.42395602683058
"RA_64",-2.29256327264927,-0.393041841017182
"RA_65",-1.7369157061852,0.0705720905381617
"RA_66",1.50148975461522,0.723622513726205
"RA_67",0.752819643327131,1.72901486463578
"RA_69",-2.00083785148672,-0.739776146238474
"RA_70",0.693684276105397,0.518998067963058
"RA_71",-2.96850494331107,-0.55018180841723
"RA_72",1.4954374873723,1.54959888225422
"RA_74",0.682435927275365,1.85933982890905
"RA_75",0.42683425796695,0.686511496249662
"RA_76",0.262715365758722,1.36997739323277
"RA_77",-2.75605344689335,0.505032207086314
"RA_78",-1.95672515017321,-0.558473858884347
"RA_79",-0.103825788087162,-0.549253553252064
"RA_80",-1.45115669515992,-1.6689730883116
"RA_81",1.68902873732197,1.03129344998527
"RA_82",1.32807932038528,0.961680037341264
"RA_83",-3.32358643091267,-0.624002293519474
"RA_84",1.11998910347236,0.788782593633937
"RA_85",2.08228149477282,1.22260754814534
"RA_86",1.09432881347579,-1.41756836066474
"RA_90",0.136416497765667,0.516540577710756
"RA_91",0.8405296918214,1.45937285940922
"RA_92",0.411230613311938,2.63247957207811
"RA_93",1.64565852180015,2.80759974603519
"RA_94",0.811656476857818,0.59295039419209
"RA_95",-1.78073529804514,-2.12932617489557
"RA_96",-1.00488007348726,-0.158530304776499
"RA_97",2.19189311345915,-1.10980790935105
"RA_98",1.31753693237033,-0.546556794049534
"RA_99",1.29654072807463,-2.57945331215047
"SLE_100",-2.11683257409989,1.83675907420616
"SLE_102",0.636998038995571,2.80935437432211
"SLE_103",0.140122234797184,1.80870856264068
"SLE_104",0.303639566160358,3.28207543750292
"SLE_105",-2.24606150078977,0.727033581091972
"SLE_106",0.569269888258956,3.76387198525267
"SLE_107",-4.7587873271972,0.234391638746723
"SLE_108",-0.470829038112729,-0.835286622266137
"SLE_109",-2.76608867785528,-0.151893105565418
"SLE_110",0.585442709311136,0.893814641413046
"SLE_111",-2.72528179861445,-0.000115432680183376
"SLE_112",-0.157036092732542,2.47514029866468
"SLE_113",-1.8908734095668,0.0337320905722117
"SLE_115",-0.00843128649718716,1.16724941484836
"SLE_116",1.68377908987672,0.693330530163788
"SLE_117",-2.11082060599513,-0.406408784606221
"SLE_118",1.61824700650591,1.1559364295603
"SLE_119",-3.16731114537173,0.0114171282822955
"SLE_120",-0.151469697682166,2.07360422942129
"SLE_121",-2.10618287740988,-0.466027194448676
"SLE_122",0.396169593071165,2.12189598115871
"SLE_124",0.422843524142222,1.69631527853543
"SLE_125",-2.56028814744106,-1.29231290576206
"SLE_129",1.66645728396894,0.854412888071755
"SLE_130",0.465259564226882,1.95450770668563
"SLE_131",-1.9541743532694,1.27109645161121
"SLE_133",-0.067741488441954,0.0268093611650437
"SLE_135",0.334203340624819,1.40139717551375
"SLE_136",0.0570368928786344,2.20127132365018
"SLE_137",0.907027414223853,1.29922693673244
"SLE_139",0.607757473713452,2.14153385940864
"SLE_140",0.771256875928406,2.16598031627039
"SLE_141",-1.05235644396846,1.88762735735813
"SLE_144",0.829263237010573,0.243569794119839
"SLE_146",-0.566147696442365,-0.783436510345657
"SLE_147",1.51563297485525,1.25619103134542
"SLE_148",-1.59426358456919,-1.49285388322569
"SLE_149",-2.55902148910402,-0.334851109543318
"SLE_150",0.805269267276775,0.708725951106291
"SLE_152",-1.80311968962165,0.070610702808339
"SLE_155",-1.80050472723449,-0.728541489739682
"SLE_157",-0.264427348676979,2.59080747246964
"SLE_158",0.660761981698665,0.639950904781806
"SLE_160",0.521236846322051,4.77838378903189
"SLE_161",0.550428300538999,3.05397839076652
"SLE_162",0.0537433950442829,1.0252207950098
"SLE_163",1.10176281624643,1.70018329388781
"SLE_164",0.103712560993872,2.77828061931099
"SLE_165",-2.12510450583922,0.0394195970232431
"SLE_169",0.435008844274034,2.09804142519108
"SLE_171",0.312541105979372,1.70902649438924
"SLE_174",-3.33324069214053,1.68514370881045
"SLE_175",-2.96574317389719,-0.493468723210163
"SLE_176",-3.09414096316393,0.983780425680049
"SLE_178",-0.0528751343778648,1.28832127962492
"SLE_179",0.307752620658059,0.868783340795935
"SLE_180",1.32157513024234,0.724706196844985
"SLE_182",-3.44446913301356,-0.273125063195885
"SLE_183",0.0436925400609951,1.10580636795277
"SLE_186",0.942994701461531,0.426887965050458
"SLE_187",-3.12604379011814,-0.310254582944985
"SLE_188",0.705771380349127,1.22787717851548
"SLE_190",0.563312210874585,0.455049151696795
"SLE_191",0.752791569919892,2.00415521732578
"SLE_192",-0.719687440819421,-0.159908952023925
"SLE_194",0.112027343562644,0.486486546740439
"SLE_197",1.16573100371001,0.521947487595909
"SLE_198",-2.34735667929904,-1.10931986864665
"SLE_202",-1.94890666066413,0.429874482112774
"SLE_203",1.38505318807594,1.25469479913558
"SLE_206",1.99720048481526,1.21786489676826
"SLE_207",0.193472502536264,1.64653456339916
"SLE_208",1.03090343221325,2.43578786414089
"SLE_209",-2.376720762801,-0.662607360404363
"SLE_210",0.622327143434742,2.7810031846885
"SLE_211",-2.65775715994158,1.00908693237749
"SLE_213",0.0356189372286273,2.50866543987392
"SLE_215",1.10230148745723,1.25361931594583
"SLE_216",0.234945072640452,2.42248738505323
"SLE_219",1.83653139521886,0.432863552105362
"SLE_220",0.264571020834271,1.85877421506507
"SLE_222",-0.132498216144203,3.09305834977928
"SLE_223",1.40271926479711,0.337280642351918
"SLE_225",-2.68712927843566,2.0756441686372
"SLE_226",0.361336741029959,3.44156406119484
"SLE_227",0.702936264249207,1.67144015015266
"SLE_230",0.311935916970143,2.86716946313977
"SLE_232",0.18819112310161,1.17669157107871
"SLE_234",-1.15919315624857,1.1574166019096
"SLE_238",0.780183103916117,0.90885880280238
"SLE_239",-2.89953276238012,-0.0514226036099127
"SLE_240",0.661057803813993,2.62664927439816
"SLE_243",1.19769588771334,0.400695859038428
"SLE_248",-0.448666945997978,2.18790792956491
"SLE_249",0.751148774712592,1.3824257510741
"SLE_250",-1.12445868161992,2.57715188774363
"SLE_251",0.926039666300961,1.48138651603791
"SLE_61",-2.57310117180195,0.171447833525042
"SLE_62",0.259605007115867,1.40052511790131
"SLE_63",1.36109748665114,1.91157663845028
"SLE_64",0.17168550356477,3.15567973257066
"SLE_65",-1.06357811772765,1.50618995648346
"SLE_66",-1.81448880836879,-1.54982055452837
"SLE_67",0.160265132528876,1.31245717441936
"SLE_68",1.27161060917377,1.22902779147292
"SLE_69",-1.64355036750857,-0.345159584408032
"SLE_70",1.44348761204157,1.20012817088278
"SLE_71",0.576303503221249,0.810190179588943
"SLE_72",0.335813777665019,2.29558170387329
"SLE_73",1.01572757594613,1.42154035774516
"SLE_74",-3.08370432930665,0.315371276626618
"SLE_75",1.38899739818669,1.57137487303623
"SLE_76",-2.23411367737475,0.27939149161827
"SLE_77",1.03252898927142,-0.737371324745527
"SLE_78",0.979235201366898,0.585600524912338
"SLE_79",-0.205554017917076,-1.20101261231759
"SLE_80",0.585122965910095,0.327945588128301
"SLE_81",1.9763084961401,0.764218380357653
"SLE_82",-1.58985871202078,-0.0146914712243808
"SLE_83",-1.44091502190206,0.100769377823051
"SLE_84",1.17372525215279,1.52322246754907
"SLE_85",1.80710627766808,1.92678658649347
"SLE_86",-0.400852494722975,1.73216782726235
"SLE_87",0.307019548065623,1.98675287072699
"SLE_88",-0.530329652088997,0.0245448740474124
"SLE_89",-1.61081539156252,-0.088450167406339
"SLE_90",0.872579885845204,1.99666379129967
"SLE_91",-4.92093365619861,-0.593837482053922
"SLE_92",-1.09153811605471,1.13027720720768
"SLE_93",-2.70860737816016,-0.124239539141403
"SLE_96",-0.406991073804475,0.953798856317066
"SLE_97",0.174599173214562,0.873033471716094
"SLE_98",1.04374742308384,1.49909419375446
"SLE_99",1.47025338750111,1.857689697057
