,barcode,n_genes,percent_mito,n_counts,desc_0.8,max.prob0.8
GSM1594320,GSM1594320,43799,0.0,202314.06,2,0.5350098
GSM1594321,GSM1594321,43799,0.0,201888.72,2,0.5353156
GSM1594322,GSM1594322,43799,0.0,202090.81,2,0.5328324
GSM1594323,GSM1594323,43799,0.0,202010.75,2,0.5170891
GSM1594324,GSM1594324,43799,0.0,201306.77,13,0.33660766
GSM1594325,GSM1594325,43799,0.0,201228.58,4,0.5099924
GSM1594326,GSM1594326,43799,0.0,202525.94,4,0.5070786
GSM1594327,GSM1594327,43799,0.0,201265.42,5,0.4551042
GSM1594328,GSM1594328,43799,0.0,203112.12,9,0.5479561
GSM1594329,GSM1594329,43799,0.0,202988.25,9,0.54083335
GSM1594330,GSM1594330,43799,0.0,201566.62,2,0.5325267
GSM1594331,GSM1594331,43799,0.0,199483.6,0,0.4249192
GSM1594332,GSM1594332,43799,0.0,202735.62,9,0.5533011
GSM1594333,GSM1594333,43799,0.0,202344.53,9,0.5602843
GSM1594334,GSM1594334,43799,0.0,201002.38,5,0.447732
GSM1594335,GSM1594335,43799,0.0,202409.72,9,0.560804
GSM1594336,GSM1594336,43799,0.0,202947.16,2,0.5358705
GSM1594337,GSM1594337,43799,0.0,201819.08,2,0.35067207
GSM1594338,GSM1594338,43799,0.0,201795.31,9,0.56930757
GSM1594339,GSM1594339,43799,0.0,201247.52,9,0.5273983
GSM1594340,GSM1594340,43799,0.0,201723.11,2,0.52604204
GSM1594341,GSM1594341,43799,0.0,200455.19,4,0.50433314
GSM1594342,GSM1594342,43799,0.0,199809.11,2,0.32572895
GSM1594343,GSM1594343,43799,0.0,200548.2,5,0.37568533
GSM1594344,GSM1594344,43799,0.0,201028.94,3,0.32867354
GSM1594345,GSM1594345,43799,0.0,203244.06,13,0.52963245
GSM1594346,GSM1594346,43799,0.0,203145.48,5,0.37212345
GSM1594347,GSM1594347,43799,0.0,200102.5,6,0.5196374
GSM1594348,GSM1594348,43799,0.0,207529.66,12,0.41128653
GSM1594349,GSM1594349,43799,0.0,205912.56,3,0.25186244
GSM1594350,GSM1594350,43799,0.0,205785.39,3,0.23348188
GSM1594351,GSM1594351,43799,0.0,199074.1,11,0.20563506
GSM1594352,GSM1594352,43799,0.0,200402.78,4,0.51051486
GSM1594353,GSM1594353,43799,0.0,201192.86,2,0.5256477
GSM1594354,GSM1594354,43799,0.0,202856.58,9,0.57599896
GSM1594355,GSM1594355,43799,0.0,202354.31,0,0.45454308
GSM1594356,GSM1594356,43799,0.0,203287.4,10,0.50694925
GSM1594357,GSM1594357,43799,0.0,203426.05,10,0.48448673
GSM1594358,GSM1594358,43799,0.0,201509.64,10,0.4562051
GSM1594359,GSM1594359,43799,0.0,203591.77,7,0.3049871
GSM1594360,GSM1594360,43799,0.0,201856.69,4,0.5108166
GSM1594361,GSM1594361,43799,0.0,199893.98,3,0.3387541
GSM1594362,GSM1594362,43799,0.0,198884.66,8,0.48745403
GSM1594363,GSM1594363,43799,0.0,199660.94,3,0.44405726
GSM1594364,GSM1594364,43799,0.0,200640.97,1,0.43486154
GSM1594365,GSM1594365,43799,0.0,201197.67,1,0.27865595
GSM1594366,GSM1594366,43799,0.0,201727.6,6,0.28996715
