,0,1
0,-2.9800508,-45.981556
1,-13.682792,-31.004421
2,-38.74708,-15.025223
3,-34.87934,-16.583584
4,32.725796,35.34536
5,52.842102,-11.311313
6,-16.589428,-30.983612
7,-1.8191551,-51.300903
8,-15.875202,-31.599977
9,-13.04944,-29.497753
10,-16.079985,-31.278744
11,-42.2789,11.630277
12,-14.518011,-32.240143
13,-40.550655,9.096701
14,-41.728687,8.968873
15,49.867973,-12.731685
16,26.493198,33.1343
17,26.476067,34.021973
18,-1.0033001,-49.050995
19,-1.7653646,-51.174347
20,-2.5755162,-47.46289
21,-1.6588757,-51.01009
22,-4.78924,-47.84874
23,16.328775,-25.056614
24,28.729673,38.432182
25,-39.695843,-15.9101925
26,33.347103,3.6153579
27,-0.56062037,-53.395283
28,-0.9504508,-49.834297
29,0.2027,-51.317554
30,0.77415645,-48.400238
31,-7.8605146,5.467548
32,-13.253902,-31.053837
33,-3.020963,-50.84009
34,-3.50932,-50.65689
35,-1.6209455,-50.936092
36,-1.5643377,-49.363075
37,25.849901,33.557568
38,26.35607,34.003372
39,26.930216,34.754448
40,28.589067,37.860847
41,31.768162,4.9727507
42,-39.143715,-20.05336
43,27.442818,34.218628
44,2.0044374,23.37696
45,-15.419044,34.299343
46,-43.148846,10.346152
47,0.10956523,21.810583
48,17.491627,-23.775543
49,-7.7220635,5.668137
50,21.69154,-26.753654
51,21.407785,-28.12817
52,-2.7628171,-49.546238
53,-14.610253,-31.572046
54,-16.050568,36.035007
55,-8.380195,4.874568
56,-12.947823,2.795056
57,-37.3952,12.783234
58,3.0723674,17.316366
59,50.380493,-17.259089
60,-11.488423,-32.338036
61,10.434176,6.6336684
62,17.268724,-27.778456
63,-37.29057,-15.093637
64,-2.021234,-10.748859
65,-17.984797,33.392067
66,17.416979,-24.65744
67,15.169651,-21.909489
68,-36.00185,-20.23947
69,28.386454,6.5323777
70,34.93239,8.300984
71,-38.32383,-17.11502
72,-18.36319,29.814014
73,30.058296,33.92783
74,-38.42954,-18.106638
75,-37.877197,-17.510397
76,17.134733,-26.052011
77,16.68734,-26.574097
78,-40.657173,-19.434483
