,0,1
0,-42.398163,-28.7393
1,13.518846,54.34574
2,-7.8826013,3.7904317
3,45.07216,10.348567
4,-42.168755,21.502098
5,0.5643471,5.0928965
6,-54.44065,3.0885303
7,-49.684074,3.6864758
8,-42.89943,3.5545506
9,66.27105,-19.057646
10,4.221433,47.292843
11,-11.583228,-35.626965
12,-2.4603624,-7.325015
13,44.916424,7.4053245
14,-47.584297,-4.6526265
15,19.71009,-46.774178
16,35.176907,25.83879
17,-2.8144805,-1.8154384
18,-0.875064,69.20381
19,7.4241805,56.344902
20,3.2816148,65.31844
21,17.143654,-30.771563
22,71.5169,-4.8905354
23,-6.922854,49.37549
24,17.396572,-49.45774
25,-10.059881,-32.208878
26,31.900892,4.9464383
27,-12.090866,-36.567703
28,-49.506504,-26.509766
29,32.68206,3.0856457
30,-47.445507,-3.7020783
31,1.7573853,56.802456
32,35.724277,7.3497415
33,15.561063,-49.19357
34,36.788166,17.656532
35,8.080068,-49.142307
36,62.209126,0.5928586
37,34.780434,7.032286
38,12.5868845,-42.16534
39,-45.076584,25.837795
40,-52.36979,6.9521217
41,-41.305573,-11.7284355
42,-2.985251,-36.724174
43,-43.22948,-30.3475
44,5.217113,-27.304085
45,2.359712,-26.908463
46,-5.7581267,-29.812422
47,46.676083,6.305854
48,12.521337,-37.438004
49,34.079075,16.959724
50,69.770004,-19.65512
51,26.01109,23.15541
52,34.62051,24.053694
53,2.6203249,-48.556408
54,-2.9952962,-39.685207
55,13.9686775,59.975395
56,62.575,-9.458902
57,-19.43559,-35.34316
58,32.025997,21.226837
59,24.44817,24.891245
60,9.509719,-49.304653
61,-6.4786434,-40.570026
62,-51.01747,17.503864
63,35.096798,1.1004367
64,1.754042,-0.3187813
65,25.619967,28.88274
66,-3.8033614,5.587297
67,-7.8105593,-2.4941037
68,-46.463448,-31.397844
69,0.6221888,2.019399
70,-44.319714,-25.553452
71,-56.72986,25.53087
72,9.624433,-45.620975
73,-57.683796,22.457373
74,-5.441773,-43.805637
75,5.873579,59.88301
76,-3.3678448,-0.5498142
77,-2.4038541,1.933848
78,-8.695614,-32.103844
79,36.36314,10.265264
80,64.077644,-7.1594205
81,-46.68398,-9.106572
82,70.4629,-21.445726
83,-20.522465,-24.92874
84,72.339134,-20.568022
85,3.085968,49.30259
86,2.1975777,-3.0541003
87,17.148296,-30.659456
88,5.98464,58.306103
89,9.054101,64.588066
90,-9.2528715,2.3529477
91,64.25176,-0.87426335
92,-0.684687,50.856384
93,5.162937,52.255154
94,51.740112,4.771662
95,33.28757,24.081709
96,16.916307,-54.790302
97,34.695312,13.162271
98,60.60721,2.713968
99,27.957178,13.72135
100,-58.014065,25.993467
101,66.909706,-19.408623
102,-35.111187,-31.307117
103,-54.081253,18.286537
104,-51.948414,17.640045
105,-8.650655,51.746986
106,-46.83623,9.459604
107,1.6523759,64.557526
108,2.2281744,-42.776146
